date, EURGBP
03/01/2000,1.5975
04/01/2000,1.58875
05/01/2000,1.59145
06/01/2000,1.5947
07/01/2000,1.59225
10/01/2000,1.5967
11/01/2000,1.59385
12/01/2000,1.5967
13/01/2000,1.6051
14/01/2000,1.6117
17/01/2000,1.6136
18/01/2000,1.6157
19/01/2000,1.6232
20/01/2000,1.6263
21/01/2000,1.6328
24/01/2000,1.6412
25/01/2000,1.6432
26/01/2000,1.637
27/01/2000,1.6593
28/01/2000,1.6624
31/01/2000,1.66505
01/02/2000,1.66315
02/02/2000,1.6453
03/02/2000,1.6128
04/02/2000,1.6281
07/02/2000,1.62815
08/02/2000,1.63475
09/02/2000,1.62625
10/02/2000,1.6333
11/02/2000,1.61485
14/02/2000,1.6251
15/02/2000,1.6265
16/02/2000,1.62995
17/02/2000,1.6287
18/02/2000,1.6274
21/02/2000,1.61985
22/02/2000,1.6062
23/02/2000,1.5981
24/02/2000,1.6129
25/02/2000,1.6353
28/02/2000,1.6439
29/02/2000,1.63765
01/03/2000,1.6286
02/03/2000,1.63265
03/03/2000,1.644
06/03/2000,1.64265
07/03/2000,1.64905
08/03/2000,1.64595
09/03/2000,1.63675
10/03/2000,1.6358
13/03/2000,1.6386
14/03/2000,1.62895
15/03/2000,1.62745
16/03/2000,1.62495
17/03/2000,1.61975
20/03/2000,1.61275
21/03/2000,1.63505
22/03/2000,1.64355
23/03/2000,1.633
24/03/2000,1.6302
27/03/2000,1.6417
28/03/2000,1.65355
29/03/2000,1.67465
30/03/2000,1.66115
31/03/2000,1.667
03/04/2000,1.6713
04/04/2000,1.65985
05/04/2000,1.64185
06/04/2000,1.65025
07/04/2000,1.6537
10/04/2000,1.64695
11/04/2000,1.65325
12/04/2000,1.65645
13/04/2000,1.66555
14/04/2000,1.64855
17/04/2000,1.65325
18/04/2000,1.6682
19/04/2000,1.68255
20/04/2000,1.6856
25/04/2000,1.7169
26/04/2000,1.7065
27/04/2000,1.72775
28/04/2000,1.7009
01/05/2000,1.7081
02/05/2000,1.72055
03/05/2000,1.74475
04/05/2000,1.73235
05/05/2000,1.70595
08/05/2000,1.7077
09/05/2000,1.68725
10/05/2000,1.6675
11/05/2000,1.6676
12/05/2000,1.6528
15/05/2000,1.6521
16/05/2000,1.6583
17/05/2000,1.6711
18/05/2000,1.6583
19/05/2000,1.65705
22/05/2000,1.6533
23/05/2000,1.628
24/05/2000,1.6317
25/05/2000,1.61275
26/05/2000,1.59965
29/05/2000,1.61075
30/05/2000,1.61005
31/05/2000,1.60095
01/06/2000,1.6047
02/06/2000,1.59535
05/06/2000,1.59895
06/06/2000,1.60135
07/06/2000,1.58195
08/06/2000,1.58015
09/06/2000,1.58295
12/06/2000,1.58705
13/06/2000,1.57005
14/06/2000,1.56585
15/06/2000,1.5842
16/06/2000,1.57125
19/06/2000,1.5801
20/06/2000,1.59055
21/06/2000,1.58675
22/06/2000,1.61695
23/06/2000,1.604
26/06/2000,1.5978
27/06/2000,1.59305
28/06/2000,1.60905
29/06/2000,1.59545
30/06/2000,1.58955
03/07/2000,1.59295
04/07/2000,1.59285
05/07/2000,1.58255
06/07/2000,1.58565
07/07/2000,1.59635
10/07/2000,1.58325
11/07/2000,1.59285
12/07/2000,1.59845
13/07/2000,1.60425
14/07/2000,1.59885
17/07/2000,1.59615
18/07/2000,1.60375
19/07/2000,1.62045
20/07/2000,1.62015
21/07/2000,1.61945
24/07/2000,1.62325
25/07/2000,1.6159
26/07/2000,1.60735
27/07/2000,1.6254
28/07/2000,1.628
31/07/2000,1.6184
01/08/2000,1.6317
02/08/2000,1.63545
03/08/2000,1.6529
04/08/2000,1.657
07/08/2000,1.6685
08/08/2000,1.6674
09/08/2000,1.66775
10/08/2000,1.6486
11/08/2000,1.66265
14/08/2000,1.6619
15/08/2000,1.6468
16/08/2000,1.6377
17/08/2000,1.63495
18/08/2000,1.6433
21/08/2000,1.6491
22/08/2000,1.6529
23/08/2000,1.6494
24/08/2000,1.6406
25/08/2000,1.62885
28/08/2000,1.6321
29/08/2000,1.63225
