date, EURUSD
03/01/2000,0.97625
04/01/2000,0.9711
05/01/2000,0.96885
06/01/2000,0.9682
07/01/2000,0.9713
10/01/2000,0.97505
11/01/2000,0.96745
12/01/2000,0.9697
13/01/2000,0.97455
14/01/2000,0.988
17/01/2000,0.9878
18/01/2000,0.98645
19/01/2000,0.98685
20/01/2000,0.98345
21/01/2000,0.99035
24/01/2000,0.99275
25/01/2000,0.99885
26/01/2000,0.99805
27/01/2000,1.01185
28/01/2000,1.02615
31/01/2000,1.03025
01/02/2000,1.0296
02/02/2000,1.02295
03/02/2000,1.00965
04/02/2000,1.0228
07/02/2000,1.0188
08/02/2000,1.01455
09/02/2000,1.00575
10/02/2000,1.01465
11/02/2000,1.01335
14/02/2000,1.02235
15/02/2000,1.0191
16/02/2000,1.01385
17/02/2000,1.0123
18/02/2000,1.01635
21/02/2000,1.0124
22/02/2000,0.99605
23/02/2000,0.99635
24/02/2000,1.00775
25/02/2000,1.02505
28/02/2000,1.0298
29/02/2000,1.03685
01/03/2000,1.02735
02/03/2000,1.03555
03/03/2000,1.0417
06/03/2000,1.04305
07/03/2000,1.04335
08/03/2000,1.0407
09/03/2000,1.03405
10/03/2000,1.0376
13/03/2000,1.0376
14/03/2000,1.03245
15/03/2000,1.0345
16/03/2000,1.0314
17/03/2000,1.02855
20/03/2000,1.028
21/03/2000,1.0404
22/03/2000,1.04055
23/03/2000,1.02915
24/03/2000,1.02265
27/03/2000,1.0343
28/03/2000,1.04065
29/03/2000,1.0509
30/03/2000,1.04065
31/03/2000,1.0463
03/04/2000,1.04685
04/04/2000,1.04205
05/04/2000,1.03605
06/04/2000,1.04345
07/04/2000,1.04685
10/04/2000,1.0387
11/04/2000,1.0425
12/04/2000,1.0427
13/04/2000,1.0498
14/04/2000,1.0389
17/04/2000,1.04605
18/04/2000,1.0577
19/04/2000,1.06355
20/04/2000,1.0673
25/04/2000,1.0858
26/04/2000,1.083
27/04/2000,1.0991
28/04/2000,1.0964
01/05/2000,1.09975
02/05/2000,1.10265
03/05/2000,1.1176
04/05/2000,1.12405
05/05/2000,1.1148
08/05/2000,1.1139
09/05/2000,1.102
10/05/2000,1.1031
11/05/2000,1.1091
12/05/2000,1.08725
15/05/2000,1.0975
16/05/2000,1.11055
17/05/2000,1.1165
18/05/2000,1.11775
19/05/2000,1.11415
22/05/2000,1.1076
23/05/2000,1.10235
24/05/2000,1.1058
25/05/2000,1.097
26/05/2000,1.07245
29/05/2000,1.07915
30/05/2000,1.0752
31/05/2000,1.0664
01/06/2000,1.0734
02/06/2000,1.0567
05/06/2000,1.0558
06/06/2000,1.0477
07/06/2000,1.03915
08/06/2000,1.0462
09/06/2000,1.0486
12/06/2000,1.0496
13/06/2000,1.04205
14/06/2000,1.04465
15/06/2000,1.0476
16/06/2000,1.03635
19/06/2000,1.0453
20/06/2000,1.0474
21/06/2000,1.05915
22/06/2000,1.069
23/06/2000,1.06855
26/06/2000,1.0674
27/06/2000,1.0569
28/06/2000,1.06345
29/06/2000,1.0505
30/06/2000,1.0498
03/07/2000,1.05245
04/07/2000,1.05125
05/07/2000,1.0499
06/07/2000,1.0519
07/07/2000,1.05445
10/07/2000,1.04685
11/07/2000,1.0498
12/07/2000,1.0612
13/07/2000,1.06705
14/07/2000,1.0655
17/07/2000,1.06785
18/07/2000,1.07245
19/07/2000,1.0816
20/07/2000,1.07175
21/07/2000,1.0674
24/07/2000,1.0712
25/07/2000,1.0655
26/07/2000,1.0606
27/07/2000,1.0734
28/07/2000,1.0834
31/07/2000,1.07915
01/08/2000,1.0933
02/08/2000,1.0934
03/08/2000,1.1037
04/08/2000,1.1011
07/08/2000,1.10235
08/08/2000,1.108
09/08/2000,1.1104
10/08/2000,1.1009
11/08/2000,1.1071
14/08/2000,1.1038
15/08/2000,1.0946
16/08/2000,1.0916
17/08/2000,1.0916
18/08/2000,1.1032
21/08/2000,1.10895
22/08/2000,1.1156
23/08/2000,1.1091
24/08/2000,1.10755
25/08/2000,1.1086
28/08/2000,1.11105
29/08/2000,1.1209
30/08/2000,1.1186
31/08/2000,1.12605
01/09/2000,1.11155
04/09/2000,1.1145
05/09/2000,1.1244
06/09/2000,1.14925
07/09/2000,1.14765
08/09/2000,1.15335
11/09/2000,1.16635
12/09/2000,1.15735
13/09/2000,1.16355
14/09/2000,1.15695
15/09/2000,1.17065
18/09/2000,1.17115
19/09/2000,1.1753
20/09/2000,1.17775
21/09/2000,1.16275
22/09/2000,1.1407
25/09/2000,1.1433
26/09/2000,1.1328
